uid,response_no,unix_time,response
user3,28,1610512808280,"{""phase"": ""TEST"", ""expr"": ""E054_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 2860}"
user3,29,1610512810423,"{""phase"": ""TEST"", ""expr"": ""E001_CW"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 2137}"
user3,30,1610512814976,"{""phase"": ""TEST"", ""expr"": ""E024_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 4547}"
user3,31,1610512819310,"{""phase"": ""TEST"", ""expr"": ""E095_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4331}"
user3,32,1610512823463,"{""phase"": ""TEST"", ""expr"": ""E086_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 4147}"
user3,33,1610512827732,"{""phase"": ""TEST"", ""expr"": ""E027_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 4, ""rt"": 4264}"
user3,34,1610512830381,"{""phase"": ""TEST"", ""expr"": ""E026_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 2644}"
user4,2,1610512738538,"{""phase"": ""TEST"", ""expr"": ""E007_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 0, ""rt"": 23602}"
user4,3,1610512748176,"{""phase"": ""TEST"", ""expr"": ""E032_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 9635}"
user4,4,1610512755418,"{""phase"": ""TEST"", ""expr"": ""E045_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 7240}"
user4,5,1610512762342,"{""phase"": ""TEST"", ""expr"": ""E041_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6922}"
user4,6,1610512769587,"{""phase"": ""TEST"", ""expr"": ""E042_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 7239}"
user4,7,1610512775709,"{""phase"": ""TEST"", ""expr"": ""E056_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6120}"
user4,8,1610512788575,"{""phase"": ""TEST"", ""expr"": ""E010_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 0, ""rt"": 12863}"
user4,9,1610512794761,"{""phase"": ""TEST"", ""expr"": ""E092_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6184}"
user4,10,1610512801625,"{""phase"": ""TEST"", ""expr"": ""E050_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6863}"
user4,11,1610512812368,"{""phase"": ""TEST"", ""expr"": ""E100_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 10742}"
user4,12,1610512820568,"{""phase"": ""TEST"", ""expr"": ""E076_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 8199}"
user4,13,1610512828005,"{""phase"": ""TEST"", ""expr"": ""E015_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 7434}"
user4,14,1610512838993,"{""phase"": ""TEST"", ""expr"": ""E008_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 2, ""rt"": 10986}"
user4,15,1610512845233,"{""phase"": ""TEST"", ""expr"": ""E039_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 6239}"
user4,16,1610512862348,"{""phase"": ""TEST"", ""expr"": ""E091_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 1, ""rt"": 17113}"
user4,17,1610512869333,"{""phase"": ""TEST"", ""expr"": ""E028_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6983}"
user4,18,1610512878663,"{""phase"": ""TEST"", ""expr"": ""E067_CW"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 9328}"
user4,19,1610512887732,"{""phase"": ""TEST"", ""expr"": ""E035_real"", ""c1_confidence"": 2, ""c2_confidence"": 0, ""rt"": 9068}"
user4,20,1610512906406,"{""phase"": ""TEST"", ""expr"": ""E070_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 18673}"
user4,21,1610512914564,"{""phase"": ""TEST"", ""expr"": ""E009_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 8156}"
user4,22,1610512925189,"{""phase"": ""TEST"", ""expr"": ""E021_CW"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 10624}"
user4,23,1610512932619,"{""phase"": ""TEST"", ""expr"": ""E082_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 7428}"
